"oldname","fullpath","newname","parentdir","old"
"RELEASE_PROCESS.md","F:\Git\basecoat\docs\operations\RELEASE_PROCESS.md","release-process.md","F:\Git\basecoat\docs\operations","operations\RELEASE_PROCESS.md"
"TELEMETRY_ADOPTION_PHASE1.md","F:\Git\basecoat\docs\operations\TELEMETRY_ADOPTION_PHASE1.md","telemetry-adoption-phase1.md","F:\Git\basecoat\docs\operations","operations\TELEMETRY_ADOPTION_PHASE1.md"
"TELEMETRY_ADOPTION.md","F:\Git\basecoat\docs\operations\TELEMETRY_ADOPTION.md","telemetry-adoption.md","F:\Git\basecoat\docs\operations","operations\TELEMETRY_ADOPTION.md"
"WORKFLOW_RUNNER_ROUTING.md","F:\Git\basecoat\docs\operations\WORKFLOW_RUNNER_ROUTING.md","workflow-runner-routing.md","F:\Git\basecoat\docs\operations","operations\WORKFLOW_RUNNER_ROUTING.md"
"BRANCH_PROTECTION.md","F:\Git\basecoat\docs\operations\security\BRANCH_PROTECTION.md","branch-protection.md","F:\Git\basecoat\docs\operations\security","operations\security\BRANCH_PROTECTION.md"
"SECRET_SCANNING.md","F:\Git\basecoat\docs\operations\security\SECRET_SCANNING.md","secret-scanning.md","F:\Git\basecoat\docs\operations\security","operations\security\SECRET_SCANNING.md"
"ASSET_REGISTRY.md","F:\Git\basecoat\docs\reference\ASSET_REGISTRY.md","asset-registry.md","F:\Git\basecoat\docs\reference","reference\ASSET_REGISTRY.md"
"CLI_COMMAND_REFERENCE.md","F:\Git\basecoat\docs\reference\CLI_COMMAND_REFERENCE.md","cli-command-reference.md","F:\Git\basecoat\docs\reference","reference\CLI_COMMAND_REFERENCE.md"
"COMPONENT_LIBRARY.md","F:\Git\basecoat\docs\reference\COMPONENT_LIBRARY.md","component-library.md","F:\Git\basecoat\docs\reference","reference\COMPONENT_LIBRARY.md"
"GUIDANCE_VOCABULARY_SYNTAX_GUIDE.md","F:\Git\basecoat\docs\reference\GUIDANCE_VOCABULARY_SYNTAX_GUIDE.md","guidance-vocabulary-syntax-guide.md","F:\Git\basecoat\docs\reference","reference\GUIDANCE_VOCABULARY_SYNTAX_GUIDE.md"
"LABEL_TAXONOMY.md","F:\Git\basecoat\docs\reference\LABEL_TAXONOMY.md","label-taxonomy.md","F:\Git\basecoat\docs\reference","reference\LABEL_TAXONOMY.md"
"PROMPT_REGISTRY.md","F:\Git\basecoat\docs\reference\PROMPT_REGISTRY.md","prompt-registry.md","F:\Git\basecoat\docs\reference","reference\PROMPT_REGISTRY.md"
"QUICK_REFERENCE.md","F:\Git\basecoat\docs\reference\QUICK_REFERENCE.md","quick-reference.md","F:\Git\basecoat\docs\reference","reference\QUICK_REFERENCE.md"
"SCOPED_INSTRUCTIONS.md","F:\Git\basecoat\docs\reference\SCOPED_INSTRUCTIONS.md","scoped-instructions.md","F:\Git\basecoat\docs\reference","reference\SCOPED_INSTRUCTIONS.md"
"TOKEN_CONTEXT_INVENTORY.md","F:\Git\basecoat\docs\reference\TOKEN_CONTEXT_INVENTORY.md","token-context-inventory.md","F:\Git\basecoat\docs\reference","reference\TOKEN_CONTEXT_INVENTORY.md"
"GITIGNORE_TEMPLATE.md","F:\Git\basecoat\docs\templates\GITIGNORE_TEMPLATE.md","gitignore-template.md","F:\Git\basecoat\docs\templates","templates\GITIGNORE_TEMPLATE.md"
"ISSUE_TEMPLATE.md","F:\Git\basecoat\docs\templates\ISSUE_TEMPLATE.md","issue-template.md","F:\Git\basecoat\docs\templates","templates\ISSUE_TEMPLATE.md"
"PRD_TEMPLATE.md","F:\Git\basecoat\docs\templates\PRD_TEMPLATE.md","prd-template.md","F:\Git\basecoat\docs\templates","templates\PRD_TEMPLATE.md"
